expo,table,project,sponsors,link,category,special
1,43,Pigment Incubator,"Best Sustainable Hack (Walmart),Top Hack Using .CO,Best Use of Capital One API",http://mhacks6.devpost.com/submissions/40103-pigment-incubator,Web Development,0
1,44,Facebook Chat 2.0,,http://mhacks6.devpost.com/submissions/40105-facebook-chat-2-0,Web Development,0
1,45,VoiceSingularity,"Best Security Hack (Walmart),Judge's / Player's Choice (Electronic Arts),Best Overall Use of Microsoft Technology",http://mhacks6.devpost.com/submissions/40109-voicesingularity,Miscellaneous,0
1,46,MTeach,"Top Hack Using .CO,Best Use of Firebase",http://mhacks6.devpost.com/submissions/40110-mteach,Web Development,0
1,47,FallingBob,,http://mhacks6.devpost.com/submissions/40111-fallingbob,VR/Game Development,0
1,48,Balliver's Travels,Judge's / Player's Choice (Electronic Arts),http://mhacks6.devpost.com/submissions/40112-balliver-s-travels,VR/Game Development,0
1,49,Breakout,"Best iOS App (Apple),Best Use of Parse API",http://mhacks6.devpost.com/submissions/40114-breakout,Miscellaneous,0
1,50,Pre-Event,"Best Use of Analytics and Analysis (Bloomberg),Best Money Saving Hack (Concur),Best Way to Visualize Data -  Qualtrics",http://mhacks6.devpost.com/submissions/40117-pre-event,Web Development,0
1,51,Potter League,Judge's / Player's Choice (Electronic Arts),http://mhacks6.devpost.com/submissions/40118-potter-league,VR/Game Development,0
1,52,Scoutkick,"Top Hack Using .CO,Best Use of Analytics and Analysis (Bloomberg),Best Money Saving Hack (Concur),Most Innovative Use of DIRECTV's APIs,Judge's / Player's Choice (Electronic Arts),Most Professional Hack by LinkedIn,Best Way to Visualize Data -  Qualtrics",http://mhacks6.devpost.com/submissions/40121-scoutkick,Web Development,0
1,53,Drone Assault,"Judge's / Player's Choice (Electronic Arts),Best Use of Parse API,Ford Best Mobile App",http://mhacks6.devpost.com/submissions/40122-drone-assault,VR/Game Development,0
1,54,Songify,,http://mhacks6.devpost.com/submissions/40124-songify,Miscellaneous,0
1,55,IOFeedMe,Best Use of Microsoft Azure,http://mhacks6.devpost.com/submissions/40125-iofeedme,Web Development,0
1,56,Escape!,Judge's / Player's Choice (Electronic Arts),http://mhacks6.devpost.com/submissions/40128-escape,VR/Game Development,0
1,57,VidulyNoted,"Best Use of Analytics and Analysis (Bloomberg),Judge's / Player's Choice (Electronic Arts),Best Use of Firebase,Best Business Solution App Using Open Source (Goldman Sachs),Best Use of Microsoft Azure,Best Team Collaboration on a Project -  American Express,Most Professional Hack by LinkedIn,Best Hack for Social Impact - Spnosored by VFA",http://mhacks6.devpost.com/submissions/40130-vidulynoted,Web Development,0
1,58,M-Ball,"Judge's / Player's Choice (Electronic Arts),Best Use of Firebase,Best Overall Use of Microsoft Technology,Most Professional Hack by LinkedIn",http://mhacks6.devpost.com/submissions/40132-m-ball,VR/Game Development,0
1,59,TextBase.co,"Top Hack Using .CO,Best Money Saving Hack (Concur),Judge's / Player's Choice (Electronic Arts),Best Use of Parse API,Best Team Collaboration on a Project -  American Express,Most Professional Hack by LinkedIn,Best Hack for Social Impact - Spnosored by VFA",http://mhacks6.devpost.com/submissions/40133-textbase-co,Web Development,0
1,60,Mathemorphesis,"Best Business Solution App Using Open Source (Goldman Sachs),Most Professional Hack by LinkedIn,Best Way to Visualize Data -  Qualtrics",http://mhacks6.devpost.com/submissions/40135-mathemorphesis,Web Development,0
1,61,CoursesLive,Best use of Stream API,http://mhacks6.devpost.com/submissions/40136-courseslive,Web Development,0
1,62,WordHunter,"Top Hack Using .CO,Best Use of MongoDB,Best Team Collaboration on a Project -  American Express,Most Professional Hack by LinkedIn",http://mhacks6.devpost.com/submissions/40139-wordhunter,Web Development,0
1,63,Supersketchy,"Top Hack Using .CO,Judge's / Player's Choice (Electronic Arts),Best Use of Firebase,Best Hack for Social Impact - Spnosored by VFA",http://mhacks6.devpost.com/submissions/40143-supersketchy,VR/Game Development,0
1,64,Stock Watch,"Best Use of Twilio,Most Professional Hack by LinkedIn",http://mhacks6.devpost.com/submissions/40145-stock-watch,Web Development,0
1,65,Eventurous,"Best Sustainable Hack (Walmart),Top Hack Using .CO",http://mhacks6.devpost.com/submissions/40148-eventurous,Web Development,0
1,66,GUNPONG,"Top Hack Using .CO,Judge's / Player's Choice (Electronic Arts),Best Use of GUN",http://mhacks6.devpost.com/submissions/40151-gunpong,VR/Game Development,0
1,67,Bloated,"Top Hack Using .CO,Best Use of Analytics and Analysis (Bloomberg),Best Use of Firebase,Best Way to Visualize Data -  Qualtrics",http://mhacks6.devpost.com/submissions/40153-bloated,Web Development,0
1,68,PiggyBank,Best Use of Firebase,http://mhacks6.devpost.com/submissions/40154-piggybank,Web Development,0
1,69,Go for Broke,"Best Security Hack (Walmart),Best Sustainable Hack (Walmart),Top Hack Using .CO,Best Use of Capital One API,Best Money Saving Hack (Concur),Best Travel Hack (Delta),Best Use of Expedia's API,Best Use of Parse API,Best Use of GUN,Best Use of Microsoft Azure,Best Overall Use of Microsoft Technology,Best Use of the Nest API,Best Use of Twilio,Best Team Collaboration on a Project -  American Express,Most Professional Hack by LinkedIn,Best Use of Namecheap",http://mhacks6.devpost.com/submissions/40155-go-for-broke,Web Development,0
1,70,SelfiEmoji,,http://mhacks6.devpost.com/submissions/40157-selfiemoji,Web Development,0
1,71,Halfway.me,"Best Money Saving Hack (Concur),Best Travel Hack (Delta),Best Team Collaboration on a Project -  American Express,Most Professional Hack by LinkedIn,Best Use of Namecheap,Best Hack for Social Impact - Spnosored by VFA,Best eCommerce Hack -  Walmart",http://mhacks6.devpost.com/submissions/40158-halfway-me,Web Development,0
1,72,Hackatron,"Top Hack Using .CO,Ford Best Mobile App,Best Use of MongoDB,Best Use of Twilio,Best Team Collaboration on a Project -  American Express,Most Professional Hack by LinkedIn,Best Use of Namecheap,Best Hack for Social Impact - Spnosored by VFA",http://mhacks6.devpost.com/submissions/40160-hackatron,Web Development,0
1,73,Think Tank,"Best Use of Parse API,Best Team Collaboration on a Project -  American Express,Most Professional Hack by LinkedIn,Best Hack for Social Impact - Spnosored by VFA",http://mhacks6.devpost.com/submissions/40161-think-tank,Web Development,0
1,74,Save a Seat,"Best Sustainable Hack (Walmart),Top Hack Using .CO,Best Money Saving Hack (Concur),Judge's / Player's Choice (Electronic Arts),Best Use of Firebase,Ford Best Mobile App,Best Business Solution App Using Open Source (Goldman Sachs),Best Use of Microsoft Azure,Best Overall Use of Microsoft Technology,Best Use of Twilio,Best Use of Wolfram Tech,Best Team Collaboration on a Project -  American Express,Most Professional Hack by LinkedIn,Best Way to Visualize Data -  Qualtrics,Best Hack for Social Impact - Spnosored by VFA,Best eCommerce Hack -  Walmart,Best Pebble Hack",http://mhacks6.devpost.com/submissions/40162-save-a-seat,Web Development,1
1,75,Job Choice,"Top Hack Using .CO,Best Use of Analytics and Analysis (Bloomberg),Best Money Saving Hack (Concur),Best Travel Hack (Delta),Best Use of MongoDB,Most Professional Hack by LinkedIn,Best Way to Visualize Data -  Qualtrics",http://mhacks6.devpost.com/submissions/40163-job-choice,Web Development,0
1,76,Rogue Battle TEST,"Best Use of Analytics and Analysis (Bloomberg),Best Travel Hack (Delta)",http://mhacks6.devpost.com/submissions/40164-rogue-battle-test,VR/Game Development,0
1,77,VR Feedback Game,Best Overall Use of Microsoft Technology,http://mhacks6.devpost.com/submissions/40168-vr-feedback-game,VR/Game Development,1
